25 20
#############
#...........#    ########
#.........s.######......#
#.......................#
#....B......######......#
#...........#    #...s..#
#...........#    #......#
#.........w.#    #......#
#####..######    ###..###
    #..#           #..#
    #..#           #..#
    #..#          ##..##
  ###..####      #......#
  #.......#      #......#
  #.......#      #......#
  #.......#      #......#
  #...@...#      #.s....#
  #.......#      #......#
  #....k..c      #...k..#
  #########       ######
